name;Gender;Eye color;Race;Hair color;Height ;Publisher;Skin color;Alignment;Weight;Birth Date;Powers
Curse;Male;-;-;-;Indefinite;Image Comics;-;bad;Indefinite;13/04/1995;Agility,Marksmanship,Intelligence,Super Strength,Stamina,Super Speed,Weapon-based Powers
Cy-Gor;Male;-;-;-;Indefinite;Image Comics;-;bad;Indefinite;08/03/2012;Intelligence
Cyborg;Male;brown;Cyborg;Black;198;DC Comics;-;good;173;27/11/2000;Dimensional Awareness,Flight,Longevity,Telepathy,Energy Blasts
Cyborg Superman;Male;blue;Cyborg;Black;Indefinite;DC Comics;-;bad;Indefinite;23/02/2004;Agility,Marksmanship
Cyclops;Male;brown;Mutant;Brown;191;Marvel Comics;-;good;88;17/03/2002;Agility,Accelerated Healing,Stealth,Marksmanship,Weapons Master,Stamina
Cypher;-;blue;-;Blond;175;Marvel Comics;-;good;68;23/02/2009;Flight,Super Strength,Super Speed
Dagger;Female;blue;-;Blond;165;Marvel Comics;-;good;52;09/03/2011;Agility,Accelerated Healing,Cold Resistance,Durability,Energy Absorption,Super Strength,Stamina,Super Speed
Danny Cooper;Male;brown;-;Blond;Indefinite;HarperCollins;-;good;Indefinite;24/03/2001;Agility,Accelerated Healing,Super Strength,Stamina,Super Speed
Daphne Powell;Female;-;-;-;Indefinite;ABC Studios;-;good;Indefinite;18/10/2009;Power Augmentation,Super Strength,Telepathy,Size Changing,Stamina,Super Speed,Darkforce Manipulation
Daredevil;Male;blue;Human;Red;183;Marvel Comics;-;good;90;24/11/2011;Accelerated Healing,Durability,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Energy Blasts,Duplication,Size Changing,Density Control,Super Speed
Darkhawk;Male;brown;Human;Brown;185;Marvel Comics;-;good;81;13/02/1999;Agility,Accelerated Healing,Cold Resistance,Durability,Weapons Master,Super Strength,Stamina
Darkman;Male;-;-;-;Indefinite;Universal Studios;-;good;Indefinite;23/03/2002;Energy Absorption,Super Strength,Super Speed
Darkseid;Male;red;New God;No Hair;267;DC Comics;grey;bad;817;18/11/2000;Agility,Durability,Super Strength,Size Changing
Darkside;-;-;-;-;Indefinite;;-;bad;Indefinite;17/10/2000;Super Speed,Electrokinesis
Darkstar;Female;brown;Mutant;Blond;168;Marvel Comics;-;good;56;13/08/2012;Agility,Stealth,Danger Sense,Marksmanship,Weapons Master,Intelligence,Telepathy
Darth Maul;Male;yellow / red;Dathomirian Zabrak;-;170;George Lucas;red / black;bad;Indefinite;07/01/2005;Electrokinesis
Darth Vader;Male;yellow;Cyborg;No Hair;198;George Lucas;-;bad;135;06/04/2000;Agility,Durability,Size Changing
Dash;Male;blue;Human;Blond;122;Dark Horse Comics;-;good;27;30/01/1999;Durability,Super Strength,Telepathy,Density Control,Stamina,Possession
Data;Male;yellow;Android;Brown;Indefinite;Star Trek;-;good;Indefinite;06/02/2010;Accelerated Healing,Durability,Flight,Super Strength
Dazzler;Female;blue;Mutant;Blond;173;Marvel Comics;-;good;52;15/01/1998;Flight,Electrokinesis
Deadman;Male;blue;Human;Black;183;DC Comics;-;good;90;23/11/2013;Agility,Durability,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina
Deadpool;Male;brown;Mutant;No Hair;188;Marvel Comics;-;neutral;95;21/03/1999;Accelerated Healing,Durability,Super Strength,Energy Blasts
Deadshot;Male;brown;Human;Brown;185;DC Comics;-;bad;91;06/04/2000;Agility,Accelerated Healing,Dimensional Awareness,Stealth,Marksmanship,Weapons Master,Longevity,Stamina,Weapon-based Powers
Deathlok;Male;brown;Cyborg;Grey;193;Marvel Comics;-;good;178;01/03/2004;Accelerated Healing,Durability,Flight,Super Strength,Energy Blasts,Weapon-based Powers
Deathstroke;Male;blue;Human;White;193;DC Comics;-;neutral;101;03/09/2004;Accelerated Healing,Flight,Telepathy,Energy Blasts
Demogoblin;Male;red;Demon;No Hair;185;Marvel Comics;-;bad;95;04/06/2011;Power Augmentation
Destroyer;Male;-;-;-;188;Marvel Comics;-;bad;383;25/05/2009;Flight,Telepathy,Animal Oriented Powers
Diamondback;Male;brown;Human;Black;193;Marvel Comics;-;bad;90;06/03/2012;Accelerated Healing,Durability,Energy Absorption,Flight,Super Strength,Telepathy,Energy Blasts,Size Changing,Super Speed,Darkforce Manipulation
DL Hawkins;Male;-;-;-;Indefinite;NBC - Heroes;-;good;Indefinite;31/05/2000;Accelerated Healing,Durability,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Stamina,Super Speed
Doc Samson;Male;blue;Human / Radiation;Green;198;Marvel Comics;-;good;171;12/05/2008;Agility,Accelerated Healing,Super Strength,Super Speed,Animal Oriented Powers
Doctor Doom;Male;brown;Human;Brown;201;Marvel Comics;-;bad;187;01/03/1996;Flight,Super Strength
Doctor Doom II;Male;brown;-;Brown;201;Marvel Comics;-;bad;132;30/11/2002;Accelerated Healing,Durability,Flight,Longevity,Super Strength,Telepathy,Stamina,Possession
Doctor Fate;Male;blue;Human;Blond;188;DC Comics;-;good;89;08/06/1999;Flight
Doctor Octopus;Male;brown;Human;Brown;175;Marvel Comics;-;bad;110;22/04/2001;Flight,Energy Blasts
Doctor Strange;Male;grey;Human;Black;188;Marvel Comics;-;good;81;04/07/2010;Durability,Flight,Energy Blasts
Domino;Female;blue;Human;Black;173;Marvel Comics;white;good;54;10/11/2006;Flight,Energy Blasts
Donatello;Male;green;Mutant;No Hair;Indefinite;IDW Publishing;green;good;Indefinite;13/09/2003;Durability,Energy Absorption,Flight,Super Strength,Energy Blasts,Density Control
Donna Troy;Female;blue;Amazon;Black;175;DC Comics;-;good;63;03/07/2003;Accelerated Healing,Energy Absorption,Flight,Longevity,Stamina,Super Speed
Doomsday;Male;red;Alien;White;244;DC Comics;-;bad;412;16/02/2005;Marksmanship
Doppelganger;Male;white;-;No Hair;196;Marvel Comics;-;bad;104;17/08/1996;Agility,Accelerated Healing,Energy Absorption,Flight,Longevity,Energy Blasts,Stamina,Super Speed
Dormammu;Male;yellow;-;No Hair;185;Marvel Comics;-;bad;Indefinite;14/02/2013;Accelerated Healing,Flight,Longevity,Super Strength,Stamina,Super Speed
Dr Manhattan;Male;white;Human / Cosmic;No Hair;Indefinite;DC Comics;blue;good;Indefinite;27/08/2012;Accelerated Healing,Super Speed
Drax the Destroyer;Male;red;Human / Altered;No Hair;193;Marvel Comics;green;good;306;27/06/1999;Intelligence
Ego;-;-;-;-;Indefinite;Marvel Comics;-;bad;Indefinite;14/04/1998;Agility,Dimensional Awareness,Durability,Flight,Longevity,Intelligence,Super Strength,Telepathy,Energy Blasts,Duplication,Stamina,Super Speed
Elastigirl;Female;brown;Human;Brown;168;Dark Horse Comics;-;good;56;06/02/1998;Cold Resistance,Super Strength,Stamina
Electro;Male;blue;Human;Auburn;180;Marvel Comics;-;bad;74;05/10/2013;Super Strength
Elektra;Female;blue;Human;Black;175;Marvel Comics;-;good;59;04/02/1998;Accelerated Healing,Dimensional Awareness,Durability,Energy Absorption,Flight,Marksmanship,Longevity,Intelligence,Super Strength,Telepathy,Energy Blasts,Size Changing,Stamina,Super Speed
Elle Bishop;Female;blue;-;Blond;Indefinite;NBC - Heroes;-;bad;Indefinite;19/02/2006;Agility
Elongated Man;Male;blue;-;Red;185;DC Comics;-;good;80;31/07/2013;Agility,Accelerated Healing,Durability,Stealth,Marksmanship,Weapons Master,Intelligence,Super Strength,Stamina,Super Speed
Emma Frost;Female;blue;-;Blond;178;Marvel Comics;-;good;65;29/01/2009;Accelerated Healing
Enchantress;Female;blue;Human;Blond;168;DC Comics;-;good;57;23/02/2005;Intelligence
Energy;Female;-;-;-;Indefinite;HarperCollins;-;good;Indefinite;22/12/2005;Accelerated Healing,Durability,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Stamina,Super Speed
ERG-1;Male;-;-;-;Indefinite;DC Comics;-;good;Indefinite;31/05/2006;Agility,Accelerated Healing,Durability,Marksmanship,Longevity,Super Strength,Energy Blasts,Stamina,Super Speed,Weapon-based Powers
Ethan Hunt;Male;brown;Human;Brown;168;;-;good;Indefinite;16/10/1995;Durability,Super Strength
Etrigan;Male;red;Demon;No Hair;193;DC Comics;yellow;neutral;203;25/01/2009;Durability,Intelligence,Super Strength,Size Changing
Evil Deadpool;Male;white;Mutant;Red;188;Marvel Comics;-;bad;95;28/06/1998;Agility,Accelerated Healing,Flight,Longevity,Super Strength,Stamina,Super Speed
Evilhawk;Male;red;Alien;Black;191;Marvel Comics;green;bad;106;21/06/1997;Telepathy
Exodus;Male;blue;Mutant;Black;183;Marvel Comics;red;bad;88;12/09/2001;Agility,Durability,Energy Absorption,Danger Sense,Longevity,Super Strength,Energy Blasts,Stamina
Fabian Cortez;-;blue;-;Brown;196;Marvel Comics;-;bad;96;26/08/1997;Agility,Super Strength
Falcon;Male;brown;Human;Black;188;Marvel Comics;-;good;108;17/05/2008;Agility,Accelerated Healing,Flight,Danger Sense,Marksmanship,Weapons Master,Longevity,Super Strength,Telepathy,Energy Blasts,Duplication,Stamina,Super Speed,Electrokinesis
Fallen One II;Male;black;-;Blue;Indefinite;Marvel Comics;-;bad;Indefinite;01/10/2006;Super Strength,Size Changing
Faora;Female;-;Kryptonian;-;Indefinite;DC Comics;-;bad;Indefinite;18/11/2010;Agility,Durability,Animal Attributes,Intelligence,Super Strength,Telepathy,Energy Blasts
Feral;-;yellow (without irises);-;Orange / White;175;Marvel Comics;-;good;50;23/01/2004;Durability,Super Strength
Fighting Spirit;Female;-;-;Red;Indefinite;DC Comics;-;good;Indefinite;05/03/2000;Flight,Energy Blasts
Fin Fang Foom;Male;red;Kakarantharaian;No Hair;975;Marvel Comics;green;good;18;04/02/2002;Weapons Master
Firebird;Female;brown;-;Black;165;Marvel Comics;-;good;56;01/01/1998;Agility,Stealth,Marksmanship,Weapons Master,Stamina
Firelord;-;white;-;Yellow;193;Marvel Comics;-;good;99;09/07/2012;Agility,Accelerated Healing,Durability,Marksmanship,Intelligence,Super Strength,Stamina,Super Speed
Firestar;Female;green;Mutant;Red;173;Marvel Comics;-;good;56;06/10/2013;Accelerated Healing,Durability,Intelligence,Super Strength,Stamina,Super Speed
Firestorm;Male;brown;-;Black;Indefinite;DC Comics;-;good;Indefinite;29/01/2010;Durability,Super Strength
Firestorm;Male;blue;Human;Auburn;188;DC Comics;-;good;91;11/11/2002;Durability,Super Strength
Fixer;-;red;-;No Hair;Indefinite;Marvel Comics;-;bad;Indefinite;27/03/1995;Durability,Longevity,Intelligence,Super Strength,Duplication,Size Changing,Stamina
Flash;Male;blue;Human;Brown / White;180;DC Comics;-;good;81;25/01/2014;Lantern Power Ring,Durability,Flight,Marksmanship,Super Strength,Energy Blasts,Stamina,Super Speed
Flash Gordon;Male;-;-;-;Indefinite;;-;good;Indefinite;03/04/2001;Agility,Lantern Power Ring,Flight,Marksmanship,Weapons Master,Super Strength,Energy Armor,Energy Blasts,Stamina,Super Speed,Weapon-based Powers
Flash II;Male;blue;Human;Blond;183;DC Comics;-;good;88;02/09/1997;Agility,Stealth,Marksmanship,Weapons Master,Stamina
Flash III;Male;-;Human;-;183;DC Comics;-;good;86;24/05/2009;Agility,Accelerated Healing,Durability,Flight,Super Strength,Stamina,Super Speed
Flash IV;Male;yellow;Human;Auburn;157;DC Comics;-;good;52;24/11/2007;Agility,Accelerated Healing,Stealth,Marksmanship,Intelligence,Super Strength,Stamina
Forge;-;brown;-;Black;183;Marvel Comics;-;good;81;10/06/2002;Agility,Accelerated Healing,Stealth,Intelligence,Telepathy,Energy Blasts,Stamina
Franklin Richards;Male;blue;Mutant;Blond;142;Marvel Comics;-;good;45;28/12/1999;Energy Absorption,Flight,Energy Blasts
Franklin Storm;-;blue;-;Grey;188;Marvel Comics;-;good;92;09/08/1996;Accelerated Healing,Flight,Super Strength,Stamina,Super Speed
Frenzy;Female;brown;-;Black;211;Marvel Comics;-;bad;104;01/03/2013;Agility,Stealth,Marksmanship,Weapons Master,Stamina
Frigga;Female;blue;-;White;180;Marvel Comics;-;good;167;12/09/2007;Weapons Master,Stamina
Galactus;Male;black;Cosmic Entity;Black;876;Marvel Comics;-;neutral;16;27/12/2004;Accelerated Healing,Cold Resistance,Durability,Flight,Super Strength
Gambit;Male;red;Mutant;Brown;185;Marvel Comics;-;good;81;08/05/1997;Animal Oriented Powers
Gamora;Female;yellow;Zen-Whoberian;Black;183;Marvel Comics;green;good;77;02/09/2013;Weapon-based Powers
Garbage Man;Male;-;Mutant;-;Indefinite;DC Comics;-;good;Indefinite;30/10/2001;Agility,Accelerated Healing,Durability,Longevity,Super Strength,Stamina,Super Speed
Gary Bell;Male;-;Alpha;-;Indefinite;SyFy;-;good;Indefinite;25/01/1995;Accelerated Healing,Durability,Weapons Master,Longevity,Super Strength,Stamina
General Zod;Male;black;Kryptonian;Black;Indefinite;DC Comics;-;bad;Indefinite;16/08/2002;Agility,Danger Sense,Intelligence,Super Strength
Genesis;Male;blue;-;Blond;185;Marvel Comics;-;good;86;18/06/2013;Durability,Animal Attributes,Super Strength,Animal Oriented Powers
Ghost Rider;Male;red;Demon;No Hair;188;Marvel Comics;-;good;99;18/07/2006;Accelerated Healing,Flight,Energy Blasts
Ghost Rider II;-;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;30/01/2004;Accelerated Healing,Durability,Longevity,Super Strength,Stamina,Super Speed
Giant-Man;Male;-;Human;-;Indefinite;Marvel Comics;-;good;Indefinite;06/10/2008;Agility,Stealth,Intelligence,Stamina,Weapon-based Powers
Giant-Man II;Male;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;22/11/2013;Super Strength,Stamina,Super Speed
Giganta;Female;green;-;Red;625;DC Comics;-;bad;630;24/05/2004;Durability
Gladiator;Male;blue;Strontian;Blue;198;Marvel Comics;purple;neutral;268;12/03/2010;Energy Absorption,Telepathy,Energy Blasts
Goblin Queen;Female;green;-;Red;168;Marvel Comics;-;bad;50;15/12/1995;Agility,Accelerated Healing,Cold Resistance,Durability,Longevity,Super Strength,Stamina,Super Speed
Godzilla;-;-;Kaiju;-;108;;grey;bad;0;26/08/2005;Agility,Energy Absorption,Flight,Marksmanship,Energy Blasts,Super Speed
Gog;Male;-;-;-;Indefinite;DC Comics;-;bad;Indefinite;19/05/2010;Marksmanship
Goku;Male;-;Saiyan;-;175;Shueisha;-;good;62;11/01/2010;Durability,Super Strength,Density Control,Super Speed
Goliath;Male;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;17/04/2010;Agility,Accelerated Healing,Durability,Stealth,Flight,Danger Sense,Marksmanship,Super Strength,Stamina,Super Speed
Goliath;Male;-;Human;-;Indefinite;Marvel Comics;-;good;Indefinite;17/09/2008;Underwater breathing,Size Changing
Goliath;Male;-;Human;-;Indefinite;Marvel Comics;-;good;Indefinite;05/10/2002;Agility,Durability,Flight,Longevity,Intelligence,Super Strength,Stamina,Super Speed
Goliath IV;Male;brown;-;Black;183;Marvel Comics;-;good;90;07/07/2000;Agility,Accelerated Healing,Cold Resistance,Durability,Marksmanship,Super Strength,Cryokinesis,Energy Blasts,Duplication,Size Changing,Stamina
Gorilla Grodd;Male;yellow;Gorilla;Black;198;DC Comics;-;bad;270;20/05/1995;Accelerated Healing,Flight,Longevity,Stamina,Super Speed
Granny Goodness;Female;blue;-;White;178;DC Comics;-;bad;115;23/09/2009;Intelligence,Stamina
Gravity;Male;blue;Human;Brown;178;Marvel Comics;-;good;79;25/06/2012;Lantern Power Ring,Flight,Intelligence
Greedo;Male;purple;Rodian;-;170;George Lucas;green;bad;Indefinite;15/12/2008;Accelerated Healing,Flight,Super Strength,Telepathy
Green Arrow;Male;green;Human;Blond;188;DC Comics;-;good;88;08/10/2005;Stealth,Intelligence
Green Goblin;Male;blue;Human;Auburn;180;Marvel Comics;-;bad;83;31/01/2011;Agility,Accelerated Healing,Cold Resistance,Durability,Energy Absorption,Danger Sense,Weapons Master,Longevity,Super Strength,Energy Blasts,Stamina,Super Speed
Green Goblin II;Male;blue;-;Auburn;178;Marvel Comics;-;bad;77;06/01/1998;Accelerated Healing,Durability,Energy Absorption,Flight,Underwater breathing,Marksmanship,Super Strength,Energy Blasts,Stamina,Super Speed,Weapon-based Powers
Green Goblin III;Male;-;-;-;183;Marvel Comics;-;good;88;09/01/1995;Durability,Flight,Intelligence,Super Strength
Green Goblin IV;Male;green;-;Brown;178;Marvel Comics;-;good;79;24/10/2000;Accelerated Healing,Durability,Flight,Intelligence,Super Strength,Stamina,Super Speed
Groot;Male;yellow;Flora Colossus;-;701;Marvel Comics;-;good;4;04/11/2010;Intelligence
Guardian;Male;brown;Human;Black;Indefinite;Marvel Comics;-;good;Indefinite;02/12/1996;Accelerated Healing,Cold Resistance,Durability,Flight,Intelligence,Super Strength,Energy Blasts,Stamina,Super Speed
Guy Gardner;Male;blue;Human-Vuldarian;Red;188;DC Comics;-;good;95;31/08/2013;Agility,Flight,Super Strength,Density Control,Super Speed
Hal Jordan;Male;brown;Human;Brown;188;DC Comics;-;good;90;19/09/2008;Durability,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina
Han Solo;Male;brown;Human;Brown;183;George Lucas;-;good;79;04/10/2005;Stealth,Marksmanship,Weapons Master,Intelligence,Stamina
Hancock;Male;brown;Human;Black;188;Sony Pictures;-;good;Indefinite;08/07/2011;Agility,Stealth
Harley Quinn;Female;blue;Human;Blond;170;DC Comics;-;bad;63;06/10/2004;Agility,Durability,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina
Harry Potter;Male;green;Human;Black;Indefinite;J. K. Rowling;-;good;Indefinite;22/06/2003;Energy Absorption,Telepathy
Havok;Male;blue;Mutant;Blond;183;Marvel Comics;-;good;79;18/11/2001;Marksmanship,Intelligence
Hawk;Male;red;-;Brown;185;DC Comics;-;good;89;21/02/1998; None
Hawkeye;Male;blue;Human;Blond;191;Marvel Comics;-;good;104;18/11/2007;Agility,Lantern Power Ring,Flight,Marksmanship,Super Strength,Energy Armor,Energy Blasts,Stamina,Super Speed
Hawkeye II;Female;blue;Human;Black;165;Marvel Comics;-;good;57;26/08/2013;Durability,Flight,Super Strength,Super Speed
Hawkgirl;Female;green;-;Red;175;DC Comics;-;good;61;10/12/1997;Durability,Super Strength
Hawkman;Male;blue;-;Brown;185;DC Comics;-;good;88;04/11/1999;Telepathy
Hawkwoman;Female;green;-;Red;175;DC Comics;-;good;54;18/07/1998;Accelerated Healing
Hawkwoman II;Female;-;-;-;Indefinite;DC Comics;-;good;Indefinite;17/04/2011;Lantern Power Ring,Durability,Flight,Marksmanship,Weapons Master,Intelligence,Super Strength,Energy Armor,Energy Blasts,Super Speed
Hawkwoman III;Female;blue;-;Red;170;DC Comics;-;good;65;22/11/2001;Longevity
Heat Wave;Male;blue;Human;No Hair;180;DC Comics;-;bad;81;15/04/2006;Durability,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina
Hela;Female;green;Asgardian;Black;213;Marvel Comics;-;bad;225;09/06/2000;Super Strength,Energy Blasts,Super Speed
Hellboy;Male;gold;Demon;Black;259;Dark Horse Comics;-;good;158;29/03/1995;Energy Absorption,Energy Blasts
Hellcat;Female;blue;Human;Red;173;Marvel Comics;-;good;61;10/01/2006;Agility,Marksmanship,Weapons Master,Stamina,Weapon-based Powers
Hellstorm;Male;red;-;Red;185;Marvel Comics;-;good;81;19/10/2011;Accelerated Healing,Durability,Super Strength,Stamina,Super Speed
Hercules;Male;blue;Demi-God;Brown;196;Marvel Comics;-;good;146;14/11/2007;Durability,Super Strength,Stamina
Hiro Nakamura;Male;-;-;-;Indefinite;NBC - Heroes;-;good;Indefinite;16/12/2013;Flight,Energy Blasts,Super Speed
Hit-Girl;Female;-;Human;-;Indefinite;Icon Comics;-;good;Indefinite;16/06/2002;Durability,Marksmanship,Stamina
Hobgoblin;Male;blue;-;Grey;180;Marvel Comics;-;bad;83;15/08/2013;Durability,Longevity,Super Strength,Energy Blasts,Electrokinesis
Hollow;Female;blue;-;Red;170;Marvel Comics;-;good;Indefinite;26/04/1996;Agility,Stealth,Flight,Weapons Master,Intelligence,Super Strength,Super Speed
Hope Summers;Female;green;-;Red;168;Marvel Comics;-;good;48;09/08/2008;Intelligence
Howard the Duck;Male;brown;-;Yellow;79;Marvel Comics;-;good;18;06/12/1999;Agility,Stealth,Marksmanship,Weapons Master,Stamina
Hulk;Male;green;Human / Radiation;Green;244;Marvel Comics;green;good;630;20/07/2005;Agility,Accelerated Healing,Energy Absorption,Flight,Super Strength,Density Control,Stamina,Super Speed
Human Torch;Male;blue;Human / Radiation;Blond;178;Marvel Comics;-;good;77;01/07/2012;Agility,Durability,Stamina,Weapon-based Powers
Huntress;Female;blue;-;Black;180;DC Comics;-;good;59;21/03/1998;Accelerated Healing,Super Speed
Husk;Female;blue;Mutant;Blond;170;Marvel Comics;-;good;58;16/01/2001;Agility,Accelerated Healing,Durability,Super Strength,Stamina,Super Speed
Hybrid;Male;brown;Symbiote;Black;175;Marvel Comics;-;good;77;14/11/1999;Cold Resistance,Durability,Energy Absorption,Cryokinesis
Hydro-Man;Male;brown;-;Brown;188;Marvel Comics;-;bad;119;17/06/2002;Accelerated Healing,Lantern Power Ring,Durability,Underwater breathing,Super Strength,Telepathy,Stamina
Hyperion;Male;blue;Eternal;Red;183;Marvel Comics;-;good;207;21/07/2007;Agility,Durability,Stealth,Longevity,Super Strength,Stamina,Super Speed
Iceman;Male;brown;Mutant;Brown;173;Marvel Comics;-;good;65;12/09/1999;Cold Resistance,Durability,Stealth,Underwater breathing,Animal Attributes,Longevity,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Impulse;Male;yellow;Human;Auburn;170;DC Comics;-;good;65;25/01/2000;Durability,Super Strength,Energy Blasts,Audio Control
Indiana Jones;Male;-;Human;-;183;George Lucas;-;good;79;11/01/2000;Durability
Indigo;Female;-;Alien;Purple;Indefinite;DC Comics;-;neutral;Indefinite;02/08/2011;Agility,Accelerated Healing,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Ink;Male;blue;Mutant;No Hair;180;Marvel Comics;-;good;81;03/05/2009;Agility,Longevity,Super Strength,Stamina,Super Speed
Invisible Woman;Female;blue;Human / Radiation;Blond;168;Marvel Comics;-;good;54;29/08/2008;Accelerated Healing,Flight,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Iron Fist;Male;blue;Human;Blond;180;Marvel Comics;-;good;79;12/10/1997;Lantern Power Ring,Flight,Marksmanship,Super Strength,Energy Blasts,Super Speed
Iron Man;Male;blue;Human;Black;198;Marvel Comics;-;good;191;27/02/2000;Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Marksmanship,Weapons Master,Intelligence,Super Strength,Telepathy,Energy Blasts,Super Speed
Iron Monger;Male;blue;-;No Hair;Indefinite;Marvel Comics;-;bad;2;25/04/2008;Marksmanship
Isis;Female;-;-;-;Indefinite;DC Comics;-;good;Indefinite;09/10/2006;Agility,Accelerated Healing,Durability,Stealth,Intelligence,Super Strength,Stamina,Super Speed
Jack Bauer;Male;-;-;-;Indefinite;;-;good;Indefinite;20/01/2005;Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina
Jack of Hearts;Male;blue / white;Human;Brown;155;Marvel Comics;-;good;79;25/12/1995;Intelligence,Telepathy
Jack-Jack;Male;blue;Human;Brown;71;Dark Horse Comics;-;good;14;07/06/1998; None
James Bond;Male;blue;Human;Blond;183;Titan Books;-;good;Indefinite;28/03/2010;Agility,Accelerated Healing,Stealth,Flight,Super Strength,Telepathy,Duplication,Stamina,Super Speed,Animal Oriented Powers
James T. Kirk;Male;hazel;Human;Brown;178;Star Trek;-;good;77;28/04/2010;Agility,Accelerated Healing,Stealth,Marksmanship,Weapons Master,Stamina
Jar Jar Binks;Male;yellow;Gungan;-;193;George Lucas;orange / white;good;Indefinite;10/01/2014;Durability,Flight,Weapons Master,Intelligence,Super Strength,Energy Blasts
Jason Bourne;Male;-;Human;-;Indefinite;;-;good;Indefinite;25/04/1995;Flight,Electrokinesis
Jean Grey;Female;green;Mutant;Red;168;Marvel Comics;-;good;52;10/04/1998;Electrokinesis
Jean-Luc Picard;Male;-;Human;-;Indefinite;Star Trek;-;good;Indefinite;27/04/2006;Energy Absorption,Electrokinesis
Jennifer Kale;Female;blue;-;Blond;168;Marvel Comics;-;good;55;23/05/2006;Super Speed
Jesse Quick;Female;-;Human;-;Indefinite;DC Comics;-;good;Indefinite;21/06/2003;Durability,Flight,Intelligence,Super Strength
Jessica Cruz;Female;green;Human;Brown;Indefinite;DC Comics;-;good;Indefinite;25/07/2009;Agility,Accelerated Healing,Dimensional Awareness,Stealth,Energy Absorption,Flight,Intelligence,Super Strength,Telepathy,Energy Blasts,Size Changing,Super Speed
Jessica Jones;Female;brown;Human;Brown;170;Marvel Comics;-;good;56;21/10/2012; None
Jessica Sanders;Female;-;-;-;Indefinite;NBC - Heroes;-;good;Indefinite;01/05/1995;Durability,Animal Attributes,Super Strength,Telepathy,Stamina,Super Speed,Animal Oriented Powers
Jigsaw;Male;blue;-;Black;188;Marvel Comics;-;bad;113;17/09/2010;Durability,Longevity,Intelligence,Super Strength,Duplication,Stamina
Jim Powell;Male;-;-;-;Indefinite;ABC Studios;-;good;Indefinite;21/05/2007;Accelerated Healing,Durability,Flight,Longevity,Intelligence,Super Strength,Stamina
JJ Powell;Male;-;-;-;Indefinite;ABC Studios;-;good;Indefinite;28/02/2005;Agility,Telepathy,Stamina,Super Speed
Johann Krauss;Male;-;-;-;Indefinite;Dark Horse Comics;-;good;Indefinite;25/05/2012;Accelerated Healing,Stealth,Flight,Intelligence,Telepathy,Energy Blasts,Possession,Darkforce Manipulation
John Constantine;Male;blue;Human;Blond;183;DC Comics;-;good;Indefinite;01/07/2003;Accelerated Healing,Durability,Super Strength,Stamina
John Stewart;Male;green;Human;Black;185;DC Comics;-;good;90;21/08/1999; None
John Wraith;Male;brown;-;Black;183;Marvel Comics;-;good;88;29/04/2001;Agility,Accelerated Healing,Stealth,Danger Sense,Marksmanship,Weapons Master,Intelligence,Telepathy,Energy Blasts,Super Speed
Joker;Male;green;Human;Green;196;DC Comics;white;bad;86;30/05/1997; None
Jolt;Female;blue;-;Black;165;Marvel Comics;-;good;49;29/08/2012;Energy Blasts,Size Changing
Jubilee;Female;red;Mutant;Black;165;Marvel Comics;-;good;52;23/08/2002;Agility,Flight,Weapons Master,Longevity,Intelligence,Telepathy,Energy Blasts
Judge Dredd;Male;-;Human;-;188;Rebellion;-;good;Indefinite;15/12/2008;Durability,Flight,Super Strength,Super Speed,Weapon-based Powers
Juggernaut;Male;blue;Human;Red;287;Marvel Comics;-;neutral;855;04/01/2008;Durability,Flight,Super Strength,Stamina,Weapon-based Powers
Junkpile;Male;-;Mutant;-;Indefinite;Marvel Comics;-;bad;Indefinite;11/03/2013;Durability,Flight,Intelligence,Super Strength,Stamina
Justice;Male;hazel;Human;Brown;178;Marvel Comics;-;good;81;26/01/1999;Durability,Super Strength,Energy Blasts
Jyn Erso;Female;green;Human;Brown;Indefinite;George Lucas;-;good;Indefinite;15/12/1998;Energy Absorption,Flight,Super Strength,Size Changing,Electrokinesis
K-2SO;Male;white;Android;No Hair;213;George Lucas;gray;good;Indefinite;10/08/2007;Accelerated Healing,Dimensional Awareness,Energy Absorption,Danger Sense,Longevity,Intelligence,Super Strength,Telepathy,Super Speed
Kang;Male;brown;-;Brown;191;Marvel Comics;-;bad;104;18/01/2008;Agility,Flight,Animal Attributes,Super Strength,Super Speed,Animal Oriented Powers
Karate Kid;Male;brown;Human;Brown;173;DC Comics;-;good;72;24/07/1998;Durability,Stealth,Underwater breathing,Super Strength
Kathryn Janeway;Female;-;Human;-;Indefinite;Star Trek;-;good;Indefinite;21/06/2011;Agility,Accelerated Healing,Super Strength,Stamina,Super Speed,Animal Oriented Powers
